pron,l,sample
Alif, أ, "Arnab أرنب Rabbit"
Bih, ب, "Bortoqalah برتقالة Orange"
Tih, ت, "Tarabiza ترابيزه Table"
Thih, ث, "thal'ab ثعلب Fox"
Geem, ج, "gamal جمل Camel"
H'h, ح, "Homar - حمار Donkey"
Kh'h, خ, "Kharoof - خروف Sheep"
Dal, د, "Dayman -دايما Always"
Thal, ذ, "zaker -ذاكر Study"
Rih, ر, "Riah رياح Winds"
Zain, ز, "Zir زر Button"
seen, س, "Sabbora سبورة Board"
sheen, ش, "Sham'a شمعه Candel"
Sad, ص, "Sayad صياد Hunter"
Dadd, ض, "Dariba ضريبة Tax"
Tah, ط, "Tariq طريق Road"
Zah, ظ, "Zarif ظريف Nice"
Ain, ع, "Amal عمل Work"
Ghin, غ, "Ghaby غبي Stupid"
Feh, ف, "Farhan فرحان Happy"
Qaf, ق, "Qird قرد Monkey"
kaf, ك, "Kilma كلمة Word"
Lam, ل, "Lih ليه Why"
Meem, م, "Meen مين Who"
Noon, ن, "Na'am نعم Yes"
Hih, ه, "Hia هى She"
Wow, و, "warda وردة Flower"
Yih, ى, "ynady ينادى Call"
